-159.5,67.5, DENSITY ,1171,1.17, NAMERICA
-159.5,68, DENSITY ,1146,1.47, NAMERICA
-159.5,68.5, DENSITY ,1120,1.17, NAMERICA
-159.5,69, DENSITY ,1095,1.17, NAMERICA
-159.5,69.5, DENSITY ,1070,1.17, NAMERICA
-159,65, DENSITY ,1294,1.47, NAMERICA
-159,65.5, DENSITY ,1270,1.47, NAMERICA
-159,66, DENSITY ,1245,1.13, NAMERICA
-159,66.5, DENSITY ,1220,1.13, NAMERICA
-159,67, DENSITY ,1195,1.2, NAMERICA
-159,67.5, DENSITY ,1171,1.2, NAMERICA
-159,68, DENSITY ,1146,1.17, NAMERICA
-159,68.5, DENSITY ,1120,1.17, NAMERICA
-159,69, DENSITY ,1095,1.17, NAMERICA
-159,69.5, DENSITY ,1070,1.17, NAMERICA
-158.5,65, DENSITY ,1294,1.47, NAMERICA
-158.5,65.5, DENSITY ,1270,1.47, NAMERICA
-158.5,66, DENSITY ,1245,1.13, NAMERICA
-158.5,66.5, DENSITY ,1220,1.13, NAMERICA
-158.5,67, DENSITY ,1195,1.2, NAMERICA
-158.5,67.5, DENSITY ,1171,1.2, NAMERICA
-158.5,68, DENSITY ,1146,1.17, NAMERICA
-158.5,68.5, DENSITY ,1120,1.17, NAMERICA
-158.5,69, DENSITY ,1095,1.17, NAMERICA
-158.5,69.5, DENSITY ,1070,1.17, NAMERICA
-158,65, DENSITY ,1294,1.2, NAMERICA
-158,65.5, DENSITY ,1270,1.2, NAMERICA
-158,66, DENSITY ,1245,1.13, NAMERICA
-158,66.5, DENSITY ,1220,1.13, NAMERICA
-158,67, DENSITY ,1195,1.16, NAMERICA
-158,67.5, DENSITY ,1171,1.16, NAMERICA
-158,68, DENSITY ,1146,1.47, NAMERICA
-158,68.5, DENSITY ,1120,1.47, NAMERICA
-158,69, DENSITY ,1095,1.17, NAMERICA
-158,69.5, DENSITY ,1070,1.17, NAMERICA
-157.5,65, DENSITY ,1294,1.2, NAMERICA
-157.5,65.5, DENSITY ,1270,1.13, NAMERICA
-157.5,66, DENSITY ,1245,1.13, NAMERICA
-157.5,66.5, DENSITY ,1220,1.13, NAMERICA
-157.5,67, DENSITY ,1195,1.16, NAMERICA
-157.5,67.5, DENSITY ,1171,1.16, NAMERICA
-157.5,68, DENSITY ,1146,1.47, NAMERICA
