-160,67.5, ELEV ,1171,762, NAMERICA 
-160,68, ELEV ,1146,403, NAMERICA 
-160,68.5, ELEV ,1120,643, NAMERICA 
-160,69, ELEV ,1095,545, NAMERICA 
-160,69.5, ELEV ,1070,163, NAMERICA 
-159.5,65, ELEV ,1294,423, NAMERICA 
-159.5,65.5, ELEV ,1270,190, NAMERICA 
-159.5,66, ELEV ,1245,91, NAMERICA 
-159.5,66.5, ELEV ,1220,91, NAMERICA 
-159.5,67, ELEV ,1195,268, NAMERICA 
-159.5,67.5, ELEV ,1171,742, NAMERICA 
-159.5,68, ELEV ,1146,576, NAMERICA 
-159.5,68.5, ELEV ,1120,643, NAMERICA 
-159.5,69, ELEV ,1095,461, NAMERICA 
-159.5,69.5, ELEV ,1070,152, NAMERICA 
-159,65, ELEV ,1294,315, NAMERICA 
-159,65.5, ELEV ,1270,234, NAMERICA 
-159,66, ELEV ,1245,176, NAMERICA 
-159,66.5, ELEV ,1220,129, NAMERICA 
-159,67, ELEV ,1195,237, NAMERICA 
-159,67.5, ELEV ,1171,610, NAMERICA 
-159,68, ELEV ,1146,549, NAMERICA 
-159,68.5, ELEV ,1120,535, NAMERICA 
-159,69, ELEV ,1095,325, NAMERICA 
-159,69.5, ELEV ,1070,122, NAMERICA 
-158.5,65, ELEV ,1294,305, NAMERICA 
-158.5,65.5, ELEV ,1270,234, NAMERICA 
-158.5,66, ELEV ,1245,176, NAMERICA 
-158.5,66.5, ELEV ,1220,108, NAMERICA 
-158.5,67, ELEV ,1195,298, NAMERICA 
-158.5,67.5, ELEV ,1171,488, NAMERICA 
-158.5,68, ELEV ,1146,599, NAMERICA 
-158.5,68.5, ELEV ,1120,454, NAMERICA 
-158.5,69, ELEV ,1095,345, NAMERICA 
-158.5,69.5, ELEV ,1070,122, NAMERICA 
-158,65, ELEV ,1294,183, NAMERICA 
-158,65.5, ELEV ,1270,152, NAMERICA 
-158,66, ELEV ,1245,281, NAMERICA 
-158,66.5, ELEV ,1220,169, NAMERICA 
-158,67, ELEV ,1195,478, NAMERICA 
-158,67.5, ELEV ,1171,549, NAMERICA 
-158,68, ELEV ,1146,759, NAMERICA 
-158,68.5, ELEV ,1120,535, NAMERICA 
-158,69, ELEV ,1095,295, NAMERICA 
-158,69.5, ELEV ,1070,129, NAMERICA 
-157.5,65, ELEV ,1294,61, NAMERICA 
-157.5,65.5, ELEV ,1270,85, NAMERICA 
-157.5,66, ELEV ,1245,339, NAMERICA 
-157.5,66.5, ELEV ,1220,203, NAMERICA 
-157.5,67, ELEV ,1195,315, NAMERICA 
-157.5,67.5, ELEV ,1171,623, NAMERICA 
-157.5,68, ELEV ,1146,698, NAMERICA 
-157.5,68.5, ELEV ,1120,515, NAMERICA 
-157.5,69, ELEV ,1095,295, NAMERICA 
-157.5,69.5, ELEV ,1070,125, NAMERICA 
-157,65, ELEV ,1294,68, NAMERICA 
-157,65.5, ELEV ,1270,64, NAMERICA 
-157,66, ELEV ,1245,352, NAMERICA 
-157,66.5, ELEV ,1220,234, NAMERICA 
-157,67, ELEV ,1195,467, NAMERICA 
-157,67.5, ELEV ,1171,742, NAMERICA 
-157,68, ELEV ,1146,735, NAMERICA 
-157,68.5, ELEV ,1120,467, NAMERICA 
-157,69, ELEV ,1095,284, NAMERICA 
-157,69.5, ELEV ,1070,122, NAMERICA 
-156.5,65, ELEV ,1294,129, NAMERICA 
-156.5,65.5, ELEV ,1270,51, NAMERICA 
-156.5,66, ELEV ,1245,298, NAMERICA 
-156.5,66.5, ELEV ,1220,244, NAMERICA 
-156.5,67, ELEV ,1195,765, NAMERICA 
-156.5,67.5, ELEV ,1171,786, NAMERICA 
-156.5,68, ELEV ,1146,769, NAMERICA 
-156.5,68.5, ELEV ,1120,423, NAMERICA 
-156.5,69, ELEV ,1095,230, NAMERICA 
-156.5,69.5, ELEV ,1070,122, NAMERICA 
-156,65, ELEV ,1294,240, NAMERICA 
-156,65.5, ELEV ,1270,81, NAMERICA 
-156,66, ELEV ,1245,224, NAMERICA 
